row	stimulus	all_responses
106	ab	ba:222,abc:168,aba:84,bc:77,abb:66,ac:54,abab:43,aabb:34,aab:33,a:24,cb:14,c:13,ca:12,aa:9,abba:7,bb:6,bab:5,ababababab:5,baba:4,ccc:4,bba:3,cc:3,cab:3,ababab:2,abbb:2,bcbacb:1,abcbba:1,abaaabaaabaaa:1,baa:1,ababac:1,bbbbcbc:1,cba:1,aaabbb:1,aaba:1,b:1,acacacaccacab:1,ababbb:1,acb:1,abccba:1,bacabaca:1,bac:1,abca:1,abbba:1,acacab:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaab:1,abbc:1,baab:1,aaaaaabbbbbbcccc:1
107	ab,aa	bb:46,ac:15,abb:4,aaa:4,cc:2,bbb:1,bbaa:1,bc:1,aab:1,aabbc:1,aba:1,a:1,aaaa:1,aabb:1,abba:1,ca:1,bba:1
108	ab,aa,aac	aab:24,aacc:5,aaa:5,cc:4,aaab:4,ac:3,abc:3,bbc:3,aacb:3,caa:2,bcc:2,acc:2,bba:2,cca:2,aaac:2,ccc:1,baa:1,bb:1,cabaa:1,aabc:1,c:1,ccb:1,aabb:1,aba:1,acac:1,aaaaaa:1,abca:1,cccbbaa:1,bbbbb:1,aacaa:1,cacaca:1,abac:1
109	ab,aa,aac,acc	abb:17,ccc:8,abc:5,accc:5,aacc:4,baa:3,acb:3,cca:3,aabb:3,bcc:3,caa:2,ccb:2,aba:2,cccc:1,aacaac:1,cac:1,ccab:1,aaa:1,cbc:1,bbc:1,acca:1,bba:1,abcc:1,cb:1,abbb:1,aaac:1,aab:1,aabbcca:1,abbc:1,ac:1,aaccc:1,accab:1,acccc:1,accacc:1,acaca:1,bc:1
110	ab,aa,aac,acc,aaba	aaca:12,aabc:7,abba:4,aaaba:4,bbab:3,aabaa:3,aabb:3,aaaa:3,aabac:2,aaab:2,aab:2,aabab:2,ccbc:2,ccba:2,abac:2,acbb:1,aaabbaa:1,cccca:1,ccaaba:1,abb:1,aabca:1,abcc:1,acaba:1,baa:1,aabba:1,acaca:1,aaac:1,abaa:1,abbc:1,acca:1,abbaa:1,ac:1,abbb:1,aacba:1,caca:1,bbbcccabb:1,cbba:1,aaa:1,aaabbaaa:1,aababac:1,aacaa:1,aca:1,aabaaba:1,ccacac:1,aaabac:1
111	ab,aa,aac,acc,aaba,abca	abcab:9,aabca:6,acba:6,abcb:4,acca:4,abcaa:4,bcaa:4,aaaba:3,abcabca:2,abba:2,bcab:2,abbca:2,bacb:1,ccba:1,aacb:1,aaaaba:1,caba:1,abccb:1,bc:1,abcabaca:1,acacaca:1,aaab:1,aaacc:1,aabcaa:1,abcbca:1,abaa:1,aaca:1,bcca:1,abcac:1,aacc:1,abcaaa:1,aabaac:1,acabb:1,accbbcca:1,abbbc:1,baca:1,cbac:1,abbc:1,abcca:1,abac:1,abc:1,acbacb:1,abcaba:1,aabbc:1,abcabc:1,ccacca:1,abcc:1
112	ab,aa,aac,acc,aaba,abca,aabac	abcab:5,aacab:4,aabaca:3,aaaba:3,aabacb:3,aaabac:3,abbac:3,ccbca:2,abcaa:2,aabab:2,abcba:2,aabbc:2,cabaa:2,aaabc:2,caaba:1,aabbbac:1,bacaa:1,aaabbaacc:1,cacacacab:1,cabaacab:1,aaabca:1,aabcca:1,babba:1,ca:1,abaca:1,cbca:1,aaaac:1,aabbaac:1,bbacc:1,ccaba:1,abcca:1,acbac:1,bcaab:1,abac:1,bbcab:1,bbcac:1,accca:1,aaccba:1,aabaccc:1,abcabc:1,aabcaa:1,aaccaabb:1,aabbccc:1,bbabc:1,abacc:1,aabc:1,acabac:1,aaaccababa:1,abcac:1,aaabba:1,abbaa:1,aab:1,aabacc:1,cacacc:1,aacba:1,aabaa:1,aaabcaa:1,abcaba:1,abbcca:1
113	ab,aa,aac,acc,aaba,abca,aabac,aaaca	aaaba:8,aaabca:5,acaaa:4,aaacab:4,aaaaca:4,cccac:2,aaabac:2,aaacb:2,aaabc:2,aaca:2,aaaaa:2,bbbcb:2,aaaabca:1,bbbac:1,abaaca:1,aaaaccaa:1,bbbba:1,cabaaacba:1,abcca:1,bbbca:1,aacaa:1,abcabac:1,cacbca:1,aaabacb:1,aabaca:1,aaacabaca:1,aaacaa:1,cccba:1,abbcca:1,aaaaaa:1,aaaabc:1,accb:1,bbacca:1,abacaa:1,aaabbbccc:1,aaaccc:1,abacaba:1,acccab:1,aaccbbcbac:1,abbbcaa:1,aaacca:1,aabcaab:1,bbcc:1,ababaca:1,babbaabbac:1,abbca:1,aaabbb:1,aaaaaca:1,abaccc:1,aaabb:1,aaaacaa:1,caaacc:1,aabcaa:1,aaaac:1,aabca:1,abbbaac:1
114	ab,aa,aac,acc,aaba,abca,aabac,aaaca,abcaca	aaaaca:4,abcacab:3,abcabc:3,abcacb:3,cbacac:2,acbaba:2,bacaca:2,abcaba:2,abcacaa:2,abcacaba:2,abcca:2,aaaaac:1,abbab:1,bccacaa:1,abbccaaccaa:1,acbaca:1,aacb:1,aabcaca:1,cacabc:1,aaaaba:1,accaac:1,abcaaca:1,baababc:1,acabac:1,acacaca:1,acacaccbc:1,abbaca:1,abcacabba:1,aabcaa:1,aabcab:1,bcbcac:1,abbbac:1,abcacaca:1,abacca:1,babaca:1,caca:1,aabaca:1,cbaccba:1,abcab:1,cabcca:1,aabc:1,acacba:1,acaca:1,aabbaab:1,abaaaa:1,abababababa:1,acbca:1,bbccacbab:1,abbbbccc:1,bacbcb:1,aabacca:1,aabacaa:1,aacca:1,aabcac:1,acbcacaa:1,abcabba:1,aacaba:1,acaaca:1,abacab:1,abab:1,cccaaa:1,acacacac:1,acabaca:1,aabca:1,abacaa:1,abcaaba:1,acccbbba:1
115	ab,aa,aac,acc,aaba,abca,aabac,aaaca,abcaca,abacaa	abacaab:6,abbcaa:3,cbcacc:2,acabaa:2,ababaa:2,abacaba:2,aabacaa:2,aacaba:2,abacaaa:2,aabcaca:1,abbca:1,abaabac:1,aabcaa:1,acabaab:1,acaabacab:1,abaacaa:1,ababbb:1,abcacb:1,babccc:1,ababaac:1,aacbcba:1,caaba:1,caacca:1,abcabcba:1,abcacaa:1,abcacca:1,abacaacbaa:1,aabcca:1,aaacbab:1,ccccaba:1,abbcab:1,abacabb:1,cab:1,abccab:1,abaca:1,aaaaca:1,bcaccaba:1,abcabc:1,accabba:1,abaaac:1,cbccaa:1,abacabaca:1,abbbcaab:1,aaaacccc:1,aababccccaaa:1,aabcacaca:1,acabbaa:1,abacca:1,aacbbcacb:1,abaaaa:1,abbbccaa:1,babcbb:1,abcba:1,aabcaaa:1,ababac:1,abac:1,acabacaa:1,bacbac:1,ababcaaa:1,abbaaa:1,abbaa:1,bbaacb:1,abccabc:1,abacaacaba:1,cbacbaacb:1,acaaaa:1,abcaaa:1,abcaacca:1,abbcacba:1
116	ab,aaa	bbb:48,aaab:7,aaaa:4,aa:3,bbbb:2,aab:2,aba:2,aaabbb:2,ba:2,abb:1,aabb:1,a:1,aaaaaaaaaa:1,abab:1,aaaaab:1,b:1,cac:1,aabbcc:1,abc:1,aaaaccc:1
117	ab,aaa,aabb	aaabbb:15,aaaa:11,bbaa:7,aaabb:5,aabbcc:4,abab:4,ccc:3,aaaaa:3,aabbb:3,bbcc:3,bbbb:3,ccbb:2,aabba:2,cc:2,abba:2,aaaab:2,aab:1,aaaaabaaaa:1,aabbc:1,bbbbb:1,ababba:1,abbbb:1,abb:1,aabbaa:1,abbb:1,bbb:1,aba:1,aaabbbccc:1
118	ab,aaa,aabb,aaaab	aaabbb:11,aaaabb:10,bbbba:6,aaabb:5,aaaaabb:5,aabbb:4,aaaaa:4,aaaabbb:3,abbbbb:3,bbbbc:3,abbbb:3,baaaa:2,aaaabbbb:2,aaaaaa:2,aaab:2,aaaaab:2,ababaaa:1,ccca:1,aabaa:1,bbb:1,aaaabaaaab:1,bbaaa:1,aaaaaaab:1,aabbaa:1,cb:1,aaaaaaaaaaaaaaaab:1,bbba:1,aba:1,ccbbba:1,aaaaaaabbbb:1,bbbc:1,abbb:1
119	ab,aaa,aabb,aaaab,aaaaaa	bbbbbb:12,aaaaaaa:9,bbbbb:7,aaaaaabb:5,aaabbb:5,aaaabbbb:5,aaaaaab:4,aaaaab:4,bbbbbbb:2,aaab:2,aaaaabb:2,aaaaaaab:2,aaaabb:2,aaaaabbb:2,aaabb:2,aaaaabbba:1,abbbb:1,ccccccc:1,bbbbbbbbbb:1,bbbbbbbb:1,aaaaaaabbbb:1,bcc:1,aaabbbc:1,cac:1,bbbbbbbbbbbbbb:1,aaabbbb:1,cccb:1,baaaaa:1,aaaabbbc:1,aaabbaaa:1,aaabba:1,aaaaaabbb:1,aaaaaaabbb:1
120	ab,aaa,aabb,aaaab,aaaaaa,aaaaabb	aaaaabbb:9,aaaaaaa:8,bbbbbaa:7,aaaaaab:6,aaaaaaab:6,aaaaab:5,aaaaaabbb:5,aaaaaaaa:3,aaaaaabb:3,aaaabbb:3,bbbbbcc:2,aaaaaaaaa:2,cccccc:1,aaaaabba:1,aaaaabbbbb:1,cccccaa:1,aabaaa:1,aaaaaaaaaa:1,bbbb:1,aaaaabbaa:1,aaaaabbbb:1,aaabb:1,aaaaaaaaaabbbb:1,aabbbbbb:1,bbc:1,aaaaaaaab:1,bab:1,aaaababa:1,aaaaaaabbb:1,aaaabb:1,ccaca:1,bbbbbbaa:1,aabc:1,cccbbb:1,aaaaabbaaaaa:1,abbb:1
121	ab,aaa,aabb,aaaab,aaaaaa,aaaaabb,aaaaaaab	aaaaaaabb:9,aaaaaaaaa:9,aaaaaaaab:7,aaaaaaaa:7,aaaaaabb:4,aaaaaaa:3,aaaaaaaabb:3,bbbbbbba:3,bbbbbbbc:2,aaaaaabbb:2,aaaaaaabbbb:2,aaaaaaabbb:2,bbbbbba:2,aaaaaaaaaaa:2,aaaaaaaabbb:2,aaaaaaaaaaaaabbb:1,bbbbbbbba:1,abbbbbb:1,abbbbbbb:1,aaacccbb:1,aaaaaaaaaab:1,bbbbbbbbbbc:1,bbbbbbc:1,aaaaaaabaa:1,aabbb:1,aaaabb:1,aab:1,caa:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaab:1,aaaaaab:1,aaaabbbbb:1,aaaaaaaaaa:1,aaabbbccc:1,aaabbaaaa:1,abbcc:1,aaaaaaaaaaab:1,cccccca:1,aaaaaaaaaaaaaabb:1,aaaaaaaaab:1
122	ab,aaa,aabb,aaaab,aaaaaa,aaaaabb,aaaaaaab,aaaaaaaaa	aaaaaaaaab:13,aaaaaaaabb:9,bbbbbbbbb:6,aaaaaaaaabb:5,aaaaaaabb:4,aaaaaaaaaa:4,bbbbbbbb:4,aaaaaabb:3,aaaaaaaabbb:3,aaaaaaaab:3,bbbbbbbbbb:2,aaaaaaaaaaa:2,aaaaaabbb:2,bbbbbbbbbbb:1,aaaaaaaaaaaa:1,aabaab:1,ccccccccccccc:1,aaaaaabbc:1,bbbbbbb:1,aaaaa:1,aaaaabbbbb:1,aaaaaaaaaaaab:1,bbb:1,aaaaaaaaaabb:1,aaaa:1,aaaaaaaaabbb:1,babababaaac:1,aaaabbbba:1,aaaaaaaa:1,ccccccccc:1,aaaabbbbb:1,aaaaaaaaabbbb:1,aaaaaaaaaaaaaabbbbbb:1,aaaaaaaabbbbbb:1,aaaaaaabbbb:1,aa:1
123	ab,aaa,aabb,aaaab,aaaaaa,aaaaabb,aaaaaaab,aaaaaaaaa,aaaaaaaabb	aaaaaaaaaab:20,aaaaaaaab:5,aaaaaaaaaa:5,aaaaaaaaabbb:4,aaaaaaaaab:4,aaaaaaaabbb:4,bbbbbbbbcc:3,aaaaaaaaaaaa:3,aaaaaaaaaabb:2,aaaaaaaaaaaab:2,aaaaaaabb:2,bbbbbbbaa:2,aaaaaaaaaaab:2,baaaaaaaa:1,bbbbbbbbbaa:1,ccccccc:1,aaabbaaa:1,bbbbbbbbbbbbbcc:1,bbbbbbcc:1,aaaaaaaaba:1,aaaabbbb:1,aaaaaaaaaaaaaaaab:1,aaabb:1,aaaaaaaaaaaaaabb:1,aaaaaaaabbbb:1,bca:1,aaaaaaaaaabbb:1,bbbbbbbbaa:1,aaaaaaaaabb:1,aaaaaaaaaaaaabbbb:1,bbaaaa:1,abab:1,ccccccccbb:1,aaaaaaaaaaa:1,aaaaaaaaaaaabbbbbb:1,aaaaaaaabba:1,aaab:1,aaaaaabbbbb:1
124	ab,aaa,aabb,aaaab,aaaaaa,aaaaabb,aaaaaaab,aaaaaaaaa,aaaaaaaabb,aaaaaaaaaab	aaaaaaaaaaaa:16,aaaaaaaaaabb:10,aaaaaaaaaaa:9,aaaaaaaaaaaaa:5,aaaaaaaaaa:5,bbbbbbbbba:3,aaaaaaaaaaab:3,bbbbbbbbbc:2,aaaaaaaaabb:2,bbbbbbbbbba:2,aaaaaaaaaaaaabb:1,bbbbbbbbbbba:1,aaaaaaaaaaabb:1,aaaaaaaaaaaaaabb:1,cccaaaaaa:1,abca:1,bbbbbbbbbcccccccccc:1,aaaabbbbbb:1,aaaaaaaaaaaaaaa:1,aaaaaaaaaaaabb:1,aaabbbbb:1,aaaaaaaaaaaaaaabbb:1,bac:1,aaaaaaaa:1,aaaaaaaaab:1,aaaaaaaabab:1,aaaaaaaaaaaaab:1,bbbbbbbc:1,aaaaaaaaaaaab:1,aabbbaaaa:1,aaabbaa:1,aaaaaaaaaabbb:1,aaaaaaaaabbbbb:1,aaaaaaaaaaaaaa:1,aaaaaaaaaaaaabbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaab:1
125	ab,aab	aaab:28,aabb:25,bba:6,abb:2,baa:2,aaba:2,ca:2,aabaa:2,abc:1,cca:1,aabaabaab:1,baabaa:1,abbb:1,aabaabaaba:1,aabc:1,ccb:1,bca:1,accba:1,aaabb:1,abbc:1,aac:1,bababa:1,ba:1
126	ab,aab,abb	aabb:17,abbb:12,bbb:9,abba:5,aaba:4,bba:3,aaab:2,aba:2,acc:2,bab:2,ac:2,baa:2,caa:1,abaababbbabbabaa:1,bbaabba:1,abbabbabba:1,aaabb:1,aabbb:1,cbb:1,bb:1,abbba:1,cca:1,cba:1,aabbaa:1,abab:1,cbcba:1,cab:1,aaa:1,bcc:1,cc:1,abbabb:1,aaaba:1,abbab:1,bc:1
127	ab,aab,abb,aabb	aaabb:20,aaabbb:12,abbb:11,aabbb:9,bbaa:8,ccaa:2,aabba:2,aabbaa:2,aabbaab:2,abab:1,aabbcc:1,baab:1,aabbaabbaa:1,abba:1,ccbb:1,cb:1,cbacb:1,aabbc:1,aabbcaa:1,aabbbb:1,cbb:1,aa:1,abbabba:1,ba:1,baba:1
128	ab,aab,abb,aabb,aaab	abbb:12,aaabbb:11,aaabb:10,aaaab:8,aabbb:5,aaaa:4,baaa:4,bbba:3,cccb:2,aabbbb:2,aaaabb:2,ababab:1,aabab:1,aaabc:1,ccca:1,baaabbaa:1,aaabaaaba:1,aaaabbbb:1,baac:1,acb:1,aaabbbbbbbbbbbbbbbbbbbb:1,bcacbca:1,aaa:1,aabbccacb:1,aaabaaa:1,bbaa:1,abbba:1,abab:1,aac:1,bb:1,bbbaa:1,b:1
129	ab,aab,abb,aabb,aaab,aaabb	aaabbb:24,aaaab:9,aaaabbb:8,aabbb:7,aaaabb:5,aaaabbbb:4,bbaaa:3,aaabbbb:2,aaabbba:2,aaabbaaabb:2,bbbaaa:1,cccaa:1,bbaaabbaabba:1,aabba:1,caa:1,cccbb:1,aaabbbbb:1,bbaac:1,bcacabca:1,aaabba:1,aabaa:1,ccbbaacb:1,bbbaa:1,aaaaab:1,abac:1,aabbbb:1,bbbbbaa:1,aa:1
130	ab,aab,abb,aabb,aaab,aaabb,aaaab	aaaabb:23,aaaaab:12,aaaaa:7,aaaaabb:6,aaaabbb:5,aaaaaab:2,cccca:2,baaaa:2,baba:2,aabbbb:2,aabbb:1,aaabbb:1,abbbbb:1,baaaabbaaa:1,aaaabbaaaa:1,abbaab:1,aaabbbb:1,aabbaa:1,ccccb:1,aabab:1,acbcba:1,aabaab:1,ccbbcacb:1,aaaabaaaab:1,bbbba:1,aaaaaaab:1,abbbb:1,aaaaaabb:1,aaaabaaa:1,ababaab:1,aba:1
131	ab,aab,abb,aabb,aaab,aaabb,aaaab,aaabbb	aaaabbbb:16,aaaabbb:11,aaaaab:9,aaabbbb:7,aaaabb:6,aabbbb:4,aaabbbaaa:3,aaaaabbb:3,bbbaaa:3,abbb:2,aabbbbb:2,abababa:1,aaaaabbbbb:1,cccaaa:1,bbbaaabbaaba:1,aaabbbaaaa:1,ababab:1,aabba:1,cccbbb:1,abbbb:1,aaaaaabb:1,aaaaabb:1,bbbccc:1,bcacba:1,ccbbcaacba:1,aaaaaab:1,babac:1,aaaaabbbb:1,aababaab:1
132	ab,aab,abb,aabb,aaab,aaabb,aaaab,aaabbb,abbbbb	bbbbbb:8,aabbbbb:8,abbbbbb:7,aabbbbbb:4,aaaabbbb:4,aaaaab:4,aaaabbb:3,abbbbba:3,aaaaabb:3,abbbbbbb:2,aabbbb:2,abbb:2,aaaaaab:2,abbbbbbbb:2,baaaaa:2,aaabbbb:2,aaaaaaabbbb:1,abbbb:1,abbbbbab:1,ababbb:1,aaaaaabbbb:1,caaaaa:1,bbbbbaaaaaa:1,abbbbabbbb:1,ababbbb:1,bbbbba:1,aaaaabbbbb:1,bac:1,abbaaab:1,bcccc:1,abbbbaab:1,aaaaaabb:1,baaaaaa:1,bbbaac:1,bcaaaa:1,abbbbbba:1,ccbbcaaacb:1,abababbb:1,caba:1,aaaaaaaab:1,abbaabba:1,bba:1
133	ab,aab,abb,aabb,aaab,aaabb,aaaab,aaabbb,abbbbb,aaaaabb	aaaaabbb:13,abbbbbb:5,aaaaaab:5,aaaabbbb:5,abbbbbbb:4,aaaaaabbb:4,aaaaabbbb:3,abbbb:3,aaaaaabb:2,aabbbbbb:2,aaabbbb:2,aaaabbbbb:2,aaaaabbbbb:2,aaabbbbabbb:1,aaaabbbbbbbb:1,aaaaabbbbbb:1,cccccaa:1,bbbbbbaaaaaa:1,bbbbbbaa:1,aaaaabbaa:1,aaaabbaaaabb:1,bbaaaaa:1,aaaaaaab:1,aabc:1,aabbb:1,aabbbbb:1,cccccbb:1,aabbbbbbb:1,aaaaababbba:1,aaaabbb:1,aaabbbbb:1,bbbbbcc:1,a:1,aaaaabbab:1,abbbbaa:1,ccbbbcaacb:1,aaaaabbaaaaabb:1,bbbbbaa:1,aaaaaaaaab:1,aabbbaaa:1,aabbbb:1,aaaabbbbbb:1,abaaaaa:1,aababbaab:1,abbab:1
134	ab,aabb	aaabbb:96,bbaa:8,bbcc:7,aabbaa:5,abab:4,aabba:4,aabbb:4,ccbb:3,aabbcc:3,ac:2,ccaa:2,aabbaabb:2,aabbc:2,aba:2,aa:2,aacc:2,baba:1,abc:1,cc:1,abbaabbaabbab:1,aab:1,aabbaabbaa:1,cb:1,ccbbaa:1,cab:1,aaaabbbb:1,abcbaba:1,aaabb:1,abcab:1,aaabbbb:1,b:1,aaabba:1,aabbbb:1
135	ab,aabb,aaabbb	aaaabbbb:65,bbbaaa:4,bbbccc:3,bab:2,abc:1,abccc:1,aaabbccc:1,abcaabbc:1,aaabbbaaabbb:1,baba:1,aaabbbc:1,cccbbb:1
136	ab,aabb,aaabbb,aaaabbbb	aaaaabbbbb:67,ccccbbbb:2,bbbbcccc:2,bca:1,ccab:1,aaaccc:1,acc:1,aaaabbbbaaaabbbb:1,ababa:1,baab:1,bbbbbaaaa:1,aaaaabbbbbb:1,bbbbaaaa:1,abab:1
137	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb	aaaaaabbbbbb:64,bbbbbaaaaa:2,bbbbbccccc:2,aaaccc:1,baccb:1,cccaaabbb:1,aaaaaabbbbbbb:1,aaaaabbbbbaaaaabbbbb:1,aaaaaaabbbbbbb:1,aaaaabbbbbb:1,aaaaaabbbbb:1,ababab:1,bbbbaaaa:1,bababa:1,aaaaaaabbbbbb:1,ababaa:1,cccccbbbbb:1
138	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb,aaaaaabbbbbb	aaaaaaabbbbbbb:62,aaaaaaaabbbbbbb:4,bbbbbbaaaaaa:2,bbbbbbcccccc:2,cccbbb:1,aaaaaaabbbbbbba:1,abc:1,bbbccc:1,aaaaaabbbbbbaaaaaabbbbbb:1,aaaaaaaabbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:1,abababab:1,bbbbbbbaaaaaaa:1,aaaaab:1,bbaab:1,ccccccbbbbbb:1
139	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb,aaaaaabbbbbb,aaaaaaabbbbbbb	aaaaaaaabbbbbbbb:60,bbbbbbbaaaaaaa:2,aaaaaaaabbbbbbb:2,bbbbbbbccccccc:2,bbbbbccc:1,cbaca:1,aaabcbbbba:1,abbbbbbbbbbba:1,aaaaaaabbbbbbbaaaaaaabbbbbbb:1,aaaaaaaaabbbbbbbbb:1,aaaaaaaaabbbbbbbbbbbbb:1,aaaaaaaaabbbbbbbb:1,babaaabbb:1,aaaaaaabbbbbbbb:1,cccaaa:1,aabbbbb:1,aaaaaaaabbbbbbbbb:1,abbba:1,aaaaaaaaabbbbbb:1,cccccccbbbbbbb:1
140	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb,aaaaaabbbbbb,aaaaaaabbbbbbb,aaaaaaaabbbbbbbb	aaaaaaaaabbbbbbbbb:64,aaaaaaaaaabbbbbbbbbb:2,bbbbbbbbaaaaaaaa:2,aaaaaaaaabbbbbbbb:2,bbbbbbbbcccccccc:2,ccccbbb:1,acbb:1,bbbbbbbbaaaaaaa:1,aaaaaaaabbbbbbbbaaaaaaaabbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb:1,abababababba:1,aaaaaaabbbbbbbb:1,baab:1,aaaaaaabbbbbbbbb:1,ccccccccbbbbbbbb:1
141	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb,aaaaaabbbbbb,aaaaaaabbbbbbb,aaaaaaaabbbbbbbb,aaaaaaaaabbbbbbbbb	aaaaaaaaaabbbbbbbbbb:62,bbbbbbbbbaaaaaaaaa:2,bbbbbbbbbccccccccc:2,acbbca:1,abcbca:1,aaaaabbbbbb:1,aaaaaaaaaabbbbbbb:1,aa:1,aaaaaaaaabbbbbbbbbaaaaaaaaabbbbbbbbb:1,aaaaaaaaaaabbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbb:1,aaaaaaaaabbbbbbbbbb:1,aaabbbaaa:1,bbbbbbbbaaaaaaaa:1,aaaaaaaaaabbbbbbbbb:1,ababababab:1,abbaabb:1,aaaaaaaaaaaaaabbbbbbbbb:1,cccccccccbbbbbbbbb:1
142	ab,aabb,aaabbb,aaaabbbb,aaaaabbbbb,aaaaaabbbbbb,aaaaaaabbbbbbb,aaaaaaaabbbbbbbb,aaaaaaaaabbbbbbbbb,aaaaaaaaaabbbbbbbbbb	aaaaaaaaaaabbbbbbbbbbb:57,aaaaaaaaaaabbbbbbbbbb:2,bbbbbbbbbbaaaaaaaaaa:2,aaaaaaaaaaabbbbbbbbbbbb:2,bbbbbbbbbbcccccccccc:2,acccb:1,aaaaaabbbcccc:1,bbbbbaaaaaac:1,aaabb:1,aaaaaaaaaabbbbbbbbbbaaaaaaaaaabbbbbbbbbb:1,aaaaaaaaaabbbbbbbbbbb:1,aaaaaaaaaaaabbbbbbbbbbbb:1,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbb:1,aaaaaaaaaaaaabbbbbbbbbbbb:1,aaaaaaaaaaaabbbbbbbbbb:1,bbbaaabbbaaa:1,bbbbbbbbcccccccc:1,aaaaaaaaabbbbbbbbbb:1,aaaaaaaaaaaaabbbbbbbbbbb:1,baabbaa:1,ccccccccccbbbbbbbbbb:1,aca:1
143	ab,aabb,abab	baba:10,ababab:10,aabbaabb:7,abba:4,ababa:4,aabaab:3,bcbc:2,aac:2,abababa:2,aabbb:2,bbaa:2,ababb:2,aaabbb:2,abac:2,acab:1,ac:1,baab:1,caca:1,abaabbabab:1,cbcb:1,aaaabbbb:1,aabab:1,aabbab:1,abbabb:1,aabba:1,aabbaa:1,caba:1,aba:1,cbba:1,aaabbbab:1,acbcb:1,bc:1,aaabba:1,bcbcaa:1,acbcacb:1,abb:1,a:1,aaaaa:1,aaab:1,aaabbbb:1,abaabb:1,aaabbba:1,acac:1
144	ab,aabb,abab,aabbab	ababab:12,aabbaabb:7,aabbabab:7,ccaaca:2,abaabb:2,aabbabaabb:2,aaabbbab:2,aabbaab:2,aabbaba:2,abbabb:2,bbaaba:2,aababb:1,bbccbc:1,abaabbab:1,abbab:1,abb:1,aaabbbaaabbb:1,baabab:1,aabbbb:1,ccbbcb:1,ababa:1,ababaabb:1,bac:1,abababa:1,aabbabb:1,aaabbab:1,aababab:1,abbaab:1,bbccaa:1,aaccab:1,aaaabbbb:1,ba:1,bbaabc:1,abbbaaab:1,aaaaa:1,aaabba:1,aabbbaa:1,abc:1,aabbcacb:1,ababb:1,b:1,aabab:1,c:1,aabaaba:1,cabac:1,aabbabaa:1,aba:1,aaccac:1,bababab:1,ababababa:1,bbbaaa:1,abababab:1
145	ab,aabb,abab,aabbab,abaabb	abaabbab:5,aabaabb:3,abbaab:2,ababab:2,abaabbaabb:2,abaaabbb:2,aabbabb:2,abbaabb:2,aababba:2,bababbbb:1,bcbbcc:1,aaabbbabb:1,aabbababab:1,aabbaa:1,abbaaa:1,aaabbab:1,caccaa:1,acc:1,aabbaaaabbbb:1,abaabbb:1,abbaba:1,abababa:1,abbaaabb:1,cbccbb:1,abc:1,bacc:1,aaabbbaab:1,abaabaa:1,abaaabb:1,baabb:1,babbaab:1,abbaabba:1,bababb:1,aabaabbb:1,aaaabbaaaa:1,baaabb:1,bbaabb:1,abaaaba:1,aabbaab:1,abb:1,bbaacc:1,ababababa:1,abcbcba:1,abaabbba:1,abbbcc:1,abbaaabbb:1,aababab:1,abaabbabaabb:1,abaaab:1,baabbb:1,abcbbab:1,aaaccbca:1,aabaab:1,aaabbbab:1,aabba:1,babbaa:1,ababa:1,ca:1,aabababa:1,ababbab:1,abbabb:1,aabbaabb:1,bbabaa:1,aababbab:1,abaabba:1,ababb:1,acaacc:1,cabbaba:1,abababab:1,aaabbb:1
